Column1,Restaurant,Address,Class
0,老柴咖啡館,新北市三峽區大觀路113號,咖啡廳
1,茶自點 北大旗艦店,新北市樹林區學成路758號1樓,中式
2,Mr.壽司 創意料理,新北市樹林區大有路120號,日式
3,coffee seeker studio 咖啡行者工作室,新北市樹林區大有路59號,咖啡廳
4,上水樸石,新北市三峽區國際一街22號,火鍋
5,同樂町 炭燒酒場,新北市三峽區三樹路308號,日式
6,聚北海道鍋物 三峽學成店,新北市三峽區學成路398號3F,火鍋
7,在心蛋餅舖,三峽區國際一街21號,早餐
8,狂一鍋－北大學成店,新北市樹林區學成路536號2樓,火鍋
9,韓燒 銅盤烤肉,新北市三峽區大學路86之2號,韓式
10,黑霸牛肉麵專賣店,新北市三峽區大觀路27號,中式
11,綠橄欖義式蔬食餐廳,新北市三峽區國際二街35號一樓,義式
12,NENE CHICKEN 三峽北大店,新北市三峽區國學街36號,韓式
13,牛排小子,新北市樹林區學勤路322號,牛排
14,羊霸天下 三峽店,新北市三峽區國光街177之6號,中式
15,Aposo 艾波索 法式甜點 三峽總店,新北市三峽區國際二街7號,甜點
16,Dee Thai kitchen 泰廚房,新北市樹林區大雅路55號,泰式
17,外婆的茶屋 三峽北大店,新北市三峽區大德路202號,飲料
18,必可蜜PiQiMi 三峽北大店,新北市三峽區大學路111號,飲料
19,LAIFA Coffee Shot 來發咖啡峽,新北市三峽區國光街73號,咖啡廳
20,蒙古紅 蒙古火鍋,新北市三峽區學成路341號,火鍋
21,鍋媽精緻小火鍋（北大店）,新北市三峽區國際一街7號1樓,火鍋
22,是在哈鍋,新北市三峽區大學路150號2樓,火鍋
23,藍爵 Blue Jazz 歐陸廚房 三峽北大店,新北市三峽區大學路200號,義式
24,Rooster Buger＆Cafe,新北市三峽區國際二街21之1號,咖啡廳
25,添財號碳烤三明治,新北市三峽區國際二街39號,早餐
26,一條 雞湯火鍋,新北市三峽區學成路227號,火鍋
27,滾吧 Qunba 鍋物 北大店,新北市樹林區學勤路318號,火鍋
28,超有肉涮涮屋 北大店,新北市三峽區學勤路178號1樓,火鍋
29,糖匠工作室 貝果甜點,新北市三峽區國際一街70之1號,甜點
30,湯馥招牌石頭鍋 海鮮涮涮鍋 北大店,新北市樹林區大有路6號,火鍋
31,阿勃勒泰式料理 大學店,新北市三峽區大學路112號,泰式
32,呷冰站(台灣鮮果手工冰),新北市三峽區國際一街82號,甜點
33,吉購吉日式丼飯茶飲北大店,新北市三峽區大德路222號,日式
34,弘爺漢堡 國光NO.45店,新北市三峽區國光街45號,早餐
35,咖哩屋カレー,新北市三峽區大觀路35號,日式
36,老私房牛肉麵,新北市三峽國際一街66-1號,中式
37,ELSA CAFE,新北市三峽區國際一街72號,咖啡廳
38,怡林自然風味鐵板燒,新北市樹林區學勤路316號,中式
39,Johnny Bro健康廚房 北大店,新北市三峽區大觀路115號1樓,健康餐
40,就這味,新北市三峽區大觀路30號,中式
41,上官木桶鍋 三鶯加盟店,新北市樹林區大成路162號,火鍋
42,Yummy亞咪義大利麵,新北市三峽區大觀路109號,義式
43,鴉片粉圓-北大店,新北市樹林區學勤路396號,甜點
44,慢思 Amour.Sacrifice,新北市三峽區國際二街25號,早餐
45,貝里義大利薄餅披薩,新北市樹林區佳園路三段612號,義式
46,魔法義大利,臺北縣三峽鎮國際二街1號,義式
47,Niko Niko Cafe‘,新北市樹林區大有路118號,咖啡廳
48,DAILY日式咖哩蛋包飯,新北市樹林區學成路726號,日式
49,首竹素塹,新北市三峽區三樹路138巷1號,中式
50,村日拾糖,新北市樹林區佳園路三段556號,甜點
51,益柔廚房,新北市三峽區學府路36號,中式
52,TASTy 西堤牛排 三峽學成店,新北市三峽區學成路398號3樓,牛排
53,Yura Bakery Cafe (法式手作甜點),新北市三峽區大德路143號,甜點
54,陳Q黑糖剉冰,新北市三峽區大義路255號,甜點
55,初芯初蒔中式料理餐廳,新北市三峽區大學路196號,中式
56,bello pasta,新北市三峽區國際一街33之2號1樓,義式
57,嚐嚐久久,新北市三峽區國光街386之2號,中式
58,凡堤斯義式料理 (三峽北大店),新北市三峽區大觀路18號,義式
59,吉米廚房北大店,新北市樹林區學成路736號,早餐
60,蕉ㄚ吐司,新北市三峽區大觀路120號,早餐
61,幸福舫 義式咖啡館 餐飲,新北市樹林區學勤路582號,義式
62,滬苑小館,新北市三峽區三樹路33號,中式
63,禾和素食,新北市樹林區學成路718號,中式
64,"Kitchen 151, Cafe, Brunch, Dinner",新北市三峽區大德路151號,咖啡廳
65,夯牛屋,新北市三峽區國際一街41號,牛排
66,B1 Cafe,新北市三峽區學成路335號3號樓之3,咖啡廳
67,布斯特麵包廚房,臺北縣樹林市大雅路281號,甜點
68,五花馬水餃館 北大三峽店,新北市三峽區大學路86之1號,中式
